SUBLOT_ID,TIMESTAMP
B23__9,20240410203020612
B24__18,20240326151417212
B24__19,20240326151443802
B24__20,20240326151709902
B25__12,20240403200417557
B25__14,20240403201612157
B25__22,20240403203634299
B26__11,20240326161510387
B26__12,20240326161741637
B26__13,20240326161807747
B2__11,20240322034325538
B2__12,20240322034554938
B2__13,20240322034621648
B2__5,20240322033708538
B30__6,20240409181050565
B30__7,20240409181141255
B30__8,20240409181253955
B31__12,20240405083926398
B31__18,20240405085459488
B31__19,20240405085559598
B32__11,20240409115806615
B32__12,20240409115855825
B32__13,20240409115948315
B35__11,20240319103218347
B35__12,20240319103409257
B35__9,20240319103034257
B37__15,20240409160512910
B37__16,20240409160852510
B37__17,20240409161232600
B39__10,20240406114828551
B39__11,20240406114922961
B39__12,20240406115011141
B3__18,20240402205641668
B3__19,20240402205917418
B3__20,20240402210151637
B3__21,20240402210424947
B40__11,20240312175311433
B40__12,20240312175400553
B40__13,20240312175450953
B41__10,20240406160421951
B41__11,20240406160508431
B41__12,20240406160557641
B43__11,20240315124646672
B43__12,20240315124739782
B43__13,20240315124827182
B46__10,20240315120306737
B46__11,20240315120358127
B46__12,20240315120451727
B47__11,20240323132428368
B47__5,20240323130709255
B47__7,20240323131256955
B48__11,20240308123608547
B48__12,20240308123637347
B48__13,20240308123726147
B49__5,20240327130122606
B49__6,20240327130426806
B4__10,20240321205259205
B4__11,20240321205324865
B4__12,20240321205414515
B4__9,20240321205117515
B50__14,20240318044232201
B50__18,20240318044525171
B51__12,20240403181901534
B51__14,20240403182444547
B52__12,20240403202409866
B52__9,20240403194707656
B53__10,20240402223340453
B53__11,20240402223529143
B54__11,20240302025332945
B54__12,20240302025501985
B55__14,20240329230343677
B55__15,20240329230615687
B56__10,20240322052817264
B56__9,20240322052450464
B57__11,20240404153847272
B57__12,20240404153950452
B58__12,20240408024819270
B58__9,20240408024434910
B59__10,20240328095733159
B59__16,20240328101512349
B5__13,20240308192220758
B5__14,20240308192453178
B5__17,20240308193231268
B5__20,20240308194012268
B60__11,20240324170923928
B60__12,20240324171153228
B61__12,20240408163647321
B61__21,20240408165945111
B62__11,20240229052155899
B62__12,20240229052321499
B63__12,20240318203433575
B63__13,20240318203730125
B64__11,20240309185817820
B64__12,20240309190051910
B65__1,20240314100213575
B65__2,20240314100509965
B66__10,20240302145752581
B66__9,20240302145518471
B67__12,20240302063519121
B67__13,20240302063752261
B68__11,20240402154141941
B68__12,20240402154242431
B69__11,20240320041211481
B69__12,20240320041337721
B6__11,20240313105704316
B6__12,20240313110000126
B6__13,20240313110257426
B6__14,20240313110553926
B70__3,20240313035310562
B70__5,20240313035857252
B71__23,20240319105041947
B71__24,20240319105240647
B73__11,20240328150422382
B73__14,20240328150815782
B75__11,20240318065031616
B75__12,20240318065231916
B76__10,20240309161838660
B76__11,20240309162022360
B77__11,20240319144225956
B77__12,20240319144446156
B78__11,20240408230232543
B78__12,20240408230440343
B79__12,20240318203002179
B79__13,20240318203232879
B7__11,20240402151133899
B7__12,20240402151230201
B7__13,20240402151320411
B7__14,20240402151406301
B80__11,20240319155859205
B80__12,20240319160050315
B81__16,20240405091449930
B81__8,20240405085248598
B82__11,20240406132456955
B82__12,20240406132637975
B83__12,20240328050201123
B83__14,20240328050522723
B84__11,20240318040326877
